标题 
这是 素质 问题 不是 保洁 问题 
看 半天 没 看见 垃圾桶 
看吧   旅客 仍 完 垃圾     走   骂 火车站 保洁 不 到位 
说实话 不是 工作 疏忽 公共场所 一点 素质 都 没有 
但凡 有点 素质 垃圾 都 不会 
人 没 素质 
旅客 素质 没关系 车站 管理 不 到位 站长 下岗 
不是 工作 疏忽 人 没 素质 或许 素质 都 不 知道 
有没有 保洁 都 不 应该 这是 乘客 没 素质 
见 最脏 火车站 候车厅 
不是 车站 没有 保洁 问题 车站 垃圾桶 可不 信 乘客 素质 问题 
满地 垃圾 说明 问题 乘客 素质 提高 不是 工作人员 工作 不 到位 
不 觉得 国人 素质 问题 公共场合 随手 丢 垃圾 反而 正常 
有没有 保洁 没有 多大 关系 只能 充分证明 一点 素质 有待 大大提高 
垃圾 堆 垃圾桶 导致 垃圾桶 溢出 保洁 过失 这全 垃圾 放在 椅子 下面 明显 旅客 素质 问题 
火车站 没有 专业 保洁 做 很多 火车站 到处 都 保洁 阿姨 
都 怪 保洁 人员 普通人 应有 素质 
从来 没有 看到 高铁 站 脏 大开眼界 
工作 疏忽 咱先 不 说 垃圾 都 扔 没 素质 去 火车站 没 看到 乱 扔 垃圾 
第一点 旅客 没有 素质 才 没有 保洁 觉得 重点 没有 看到 候车厅 垃圾 
南阳 火车站 碰到 最 恶心 火车站 候车 区 脏乱差 臭味 熏天 第一次 跑 地下 坐 出租车 下 楼梯 一楼 一股 屎尿 味 真他妈 服 
素质 绝对 地方 管理 问题 
去 不 垃圾桶 是不是 最近 停运 人太多 
去 南阳 火车站 没有 
南阳 火车站 候车 旁边 不是 垃圾桶 需要 跑 几步 
候车厅 太脏 环境 差 
我大 南阳 咋会 出现 这种 情况 丢脸 
南阳 值得 三思 
素质 改变 最 基本 问题 很多 人 不 明白 
车站 保洁员 问题 没有 垃圾桶 旅客 素质 何在 
北京站 
早就 不再 去 
好家伙 农村 巷道 还脏 
车站 管理 不善 加大力度 
想 知道 为啥 没有 保洁员 
这是 火车站 问题 
年 
每个 人 都 讲究卫生 怎能 脏乱 问题 
候车室 垃圾场 
垃圾 遍地 太脏 
这是 个人 问题 保洁 问题 爆料 自觉 站 出来 公开 
铁路运输 最 有钱 行业 试问 说 没有 保洁 钱 去 
硬件 软件 跟不上 低 素质 人太多 
南阳 两个 火车站 喇叭       回声 太 大     听 都 听不清 
其实 环境影响 人 行为 图书馆 是不是 觉得 都 很 安静 乱 环境 只会 恶性循环 越来越 脏 
这是 有点儿 疏忽 
不是 工作 舒服 事 上次 安检 公然 抚摸 小腿 
去年 南阳 火车站 进站 大 夏天 晚上 只开 安检 口 拖 最后 才 人 进门 都 担心 晚点 不 晓得 为啥 人员 配置 都 没有 设计 为啥 四个 安检 口 南阳 值得 三思 地方 
人性 恶 破窗 效应 打扫 干净 乱 扔 垃圾 会少 很多 旅客 素质 差 管理 不 到位 
卫生 没有 人 打扫 清理 
这是 入乡随俗 
觉得 这是 旅客 素质 
不是 工作 疏忽 事 
这是 多方面 问题 
我能 说 正常 
深有同感 从小 发现 海滩 上 很多 垃圾 尤其 大叔 海边 喝啤酒 酒瓶 乱 扔 全都 碎 到处 都 绿色 玻璃 渣子 真 恶心 
觉得 这是 旅客 素质 
旅客 素质 太 差 工作失误 不是 疏忽 
火车站 不远 地方 住 
没想到 南阳 出了名 
车站 有点 关系不大 ! 关键 乘客 素质 太差 
真 丢人 没见 脏乱差 火车站 
关键 素质 问题 不是 保洁 问题 
不是 素质 问题 如果说 整个 南阳 街道 路边 都 那才 素质 问题 明显 火车站 管理 不当 
车站 新 建成 没 几年 
恶心 人     新乡 老破 站 最起码 干净 
好 干净 火车站 
素质 
真的 有点 疏忽 
素质 去 
肯定 管理 事 
这是 个人 素质 问题 
素质 真的 低下 
天桥 修好 之前 南阳 火车站 都 没 好 印象 
现在 人 素质 太差 不 注重 环境卫生 
旅客 垃圾 放 指定 地点 就行了 
这是 乘客 素质 问题 
旅客 素质 没关系 车站 管理 不 到位 站长 下岗 
有没有 保洁 没关系 个人 素质 问题 难道 在家 
