text_cut
这是 素质 问题 不是 保洁 问题
半天 看见 垃圾桶
看吧 旅客 垃圾 火车站 保洁 到位
说实话 不是 工作 疏忽 公共场所 一点 素质 没有
但凡 有点 素质 垃圾 不会
素质
旅客 素质 没关系 车站 管理 到位 站长 下岗
不是 工作 疏忽 素质 或许 素质 知道
有没有 保洁 应该 这是 乘客 素质
最脏 火车站 候车厅
不是 车站 没有 保洁 问题 车站 垃圾桶 可不 乘客 素质 问题
满地 垃圾 说明 问题 乘客 素质 提高 不是 工作人员 工作 到位
觉得 国人 素质 问题 公共场合 随手 垃圾 反而 正常
有没有 保洁 没有 多大 关系 只能 充分证明 一点 素质 有待 大大提高
垃圾 垃圾桶 导致 垃圾桶 溢出 保洁 过失 这全 垃圾 放在 椅子 下面 明显 旅客 素质 问题
火车站 没有 专业 保洁 很多 火车站 到处 保洁 阿姨
保洁 人员 普通人 应有 素质
从来 没有 看到 高铁 大开眼界
工作 疏忽 咱先 垃圾 素质 火车站 看到 垃圾
第一点 旅客 没有 素质 没有 保洁 觉得 重点 没有 看到 候车厅 垃圾
南阳 火车站 碰到 恶心 火车站 候车 脏乱差 臭味 熏天 第一次 地下 出租车 楼梯 一楼 一股 屎尿 真他妈
素质 绝对 地方 管理 问题
垃圾桶 是不是 最近 停运 人太多
南阳 火车站 没有
南阳 火车站 候车 旁边 不是 垃圾桶 需要 几步
候车厅 太脏 环境
我大 南阳 咋会 出现 这种 情况 丢脸
南阳 值得 三思
素质 改变 基本 问题 很多 明白
车站 保洁员 问题 没有 垃圾桶 旅客 素质 何在
北京站
早就 不再
好家伙 农村 巷道 还脏
车站 管理 不善 加大力度
知道 为啥 没有 保洁员
这是 火车站 问题
""
每个 讲究卫生 怎能 脏乱 问题
候车室 垃圾场
垃圾 遍地 太脏
这是 个人 问题 保洁 问题 爆料 自觉 出来 公开
铁路运输 有钱 行业 试问 没有 保洁
硬件 软件 跟不上 素质 人太多
南阳 两个 火车站 喇叭 回声 听不清
其实 环境影响 行为 图书馆 是不是 觉得 安静 环境 只会 恶性循环 越来越
这是 有点儿 疏忽
不是 工作 舒服 上次 安检 公然 抚摸 小腿
去年 南阳 火车站 进站 夏天 晚上 只开 安检 最后 进门 担心 晚点 晓得 为啥 人员 配置 没有 设计 为啥 四个 安检 南阳 值得 三思 地方
人性 破窗 效应 打扫 干净 垃圾 会少 很多 旅客 素质 管理 到位
卫生 没有 打扫 清理
这是 入乡随俗
觉得 这是 旅客 素质
不是 工作 疏忽
这是 多方面 问题
我能 正常
深有同感 从小 发现 海滩 很多 垃圾 尤其 大叔 海边 喝啤酒 酒瓶 全都 到处 绿色 玻璃 渣子 恶心
旅客 素质 工作失误 不是 疏忽
火车站 不远 地方
没想到 南阳 出了名
车站 有点 关系不大 关键 乘客 素质 太差
丢人 没见 脏乱差 火车站
关键 素质 问题 不是 保洁 问题
不是 素质 问题 如果说 整个 南阳 街道 路边 那才 素质 问题 明显 火车站 管理 不当
车站 建成 几年
恶心 新乡 老破 最起码 干净
干净 火车站
真的 有点 疏忽
素质
肯定 管理
